year,fails,success_prob,retirement_length
2023,0,100,0
2024,0,100,1
2025,0,100,2
2026,0,100,3
2027,0,100,4
2028,0,100,5
2029,0,100,6
2030,0,100,7
2031,0,100,8
2032,0,100,9
2033,3,99.97,10
2034,11,99.86,11
2035,18,99.68,12
2036,27,99.41,13
2037,39,99.02,14
2038,38,98.64,15
2039,68,97.96000000000001,16
2040,71,97.25,17
2041,96,96.29,18
2042,109,95.2,19
2043,90,94.3,20
2044,92,93.38,21
2045,91,92.47,22
2046,101,91.46000000000001,23
2047,108,90.38,24
2048,89,89.49,25
2049,99,88.5,26
2050,80,87.7,27
2051,84,86.86,28
2052,85,86.01,29
2053,65,85.36,30
2054,62,84.74,31
2055,72,84.02,32
2056,65,83.37,33
2057,60,82.77,34
2058,53,82.24,35
2059,54,81.7,36
2060,58,81.12,37
2061,46,80.66,38
2062,48,80.18,39
2063,50,79.68,40
2064,31,79.37,41
2065,39,78.98,42
2066,38,78.60000000000001,43
2067,36,78.24,44
2068,28,77.96000000000001,45
2069,26,77.7,46
2070,34,77.36,47
2071,32,77.04,48
2072,25,76.79,49
2073,15,76.64,50
